method,leaf,actual,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
old_noaid,1,0.25,5,1,1,1,0.2,0.1,0.2,0.5,1,0.3,0.5,0.1,1,0,2,0.1,0.1,0.3,0.3,1
old_noaid,2,2.5,15,5,6,7,5,10,7,3,9,0.8,6,2,10,2,5,2,5,0.9,8,10
old_noaid,3,7.24,10,8,7,13,30,0.8,8,7,17,8,10,5,20,5,8,3,7,1,7,20
old_noaid,4,7.31,20,3,5,15,5,0.3,15,3,5,5,2,2,10,8,5,5,0.3,0.9,8,15
old_noaid,5,9.07,15,17,13,20,17,20,18,10,16,13,15,4,10,20,17,21,24,25,12,25
old_noaid,6,11.6,15,15,12,16,15,25,12,5,19,15,6,3,15,10,10,12,1,10,3,25
old_noaid,7,12.46,25,10,10,12,10,10,9,8,15,20,10,7,20,15,15,15,17,40,7,30
old_noaid,8,13.1,20,10,20,12,15,5,21,8,20,15,8,7,10,10,23,5,23,48,5,25
old_noaid,9,14.61,20,15,18,18,15,14,22,7,19,19,18,5,20,25,15,16.5,17,18,12,20
old_noaid,10,16.06,25,15,22,19,21,30,29,12,17,15,17,10,20,15,19,19,25,23,11,33
old_noaid,11,16.7,25,4,20,17,25,15,20,4,12,15,15,5,20,20,25,11,17,32,2,20
old_noaid,12,19.5,18,15,25,20,30,20,19,10,22,18,10,6,40,20,43,14,27,22,12,22
old_noaid,13,20.75,20,15,24,18,35,30,17,12,20,18,20,8,25,40,18,29.5,46,48,3,55
old_noaid,14,23.56,20,10,10,7,20,15,19,5,8,25,10,13,10,10,13,12,13,38,6,20
old_noaid,15,23.77,30,4,42,18,40,37,22,10,19,37,15,10,60,60,40,81,43,42,11,30
old_noaid,16,24.45,20,20,15,14,17,29,19,15,38,30,15,5,35,20,23,17,24,33,9,26
old_noaid,17,25.78,40,35,33,28,45,45,15,30,10,50,25,8,40,60,45,33.5,32,35,5,60
old_noaid,18,26.03,30,15,8,20,15,13,20,10,13,35,7,15,45,40,15,21,33,43,13,40
old_noaid,19,26.42,25,22,20,22,10,19,17,12,33,45,17,7,40,30,15,10,41,42,10,42
old_noaid,20,28.89,35,19,47,39,55,42,40,15,9,40,20,12,50,75,63,57,61,45,10,50
old_noaid,21,31.21,40,20,38,35,50,40,48.8,25,40,25,27,13,55,40,47,50,57,30,16,45
old_noaid,22,33.05,40,20,33,27,60,44,37.5,30,25,25,45,15,25,40,33,64,45,60,12,40
old_noaid,23,34.63,40,19,52,28,55,53,41,20,40,45,30,20,70,70,57,59,75,68,14,75
old_noaid,24,36.15,60,50,30,35,30,20,48,50,20,70,55,10,85,70,80,50,20,26,16,35
old_noaid,25,36.74,60,41,68,45,65,48,57,55,48,45,40,25,80,70,58,44,72,48,12,60
old_noaid,26,38,50,28,58,58,75,51,33,40,38,65,20,20,75,70,64,43,79,79,16,70
old_noaid,27,38.07,50,22,65,30,70,55,49,30,43,70,40,22,65,80,65,81,78,86,20,85
old_noaid,28,40,45,43,66,40,65,54,53,40,48,45,40,28,70,75,53,47,67,47,20,45
old_noaid,29,40.34,50,57,40,20,45,30,60,60,30,60,30,15,80,70,85,37,22,35,22,45
old_noaid,30,44.01,55,37,73,48,75,46,69.7,40,39,75,30,25,90,80,63,78,79,42,21,75
old_noaid,31,45.42,45,30,42,48,48,38,41,35,43,50,20,10,40,50,63,48,63,45,13,68
old_noaid,32,45.47,60,30,61,50,70,60,40,50,60,80,60,25,50,75,62,72,87,89,24,80
old_noaid,33,49.23,75,40,70,60,70,70,35,35,50,80,35,17,80,95,83,73,65,57,13,65
old_noaid,34,52.48,40,40,79,43,52,38,48,50,66,55,26,20,60,75,48,52,60,29,23,52
old_noaid,35,53.08,60,48,52,40,90,48,68,25,52,60,35,17,60,80,49,74,67,79,17,50
old_noaid,36,54.7,50,42,55,50,66,49,59,45,43,55,40,30,65,60,61,75,81,48,18,63
old_noaid,37,54.82,70,45,45,40,70,50,65,70,35,80,40,16,90,90,80,66,31,30,36,60
old_noaid,38,55.54,75,70,95,68,95,87,89,90,73,85,75,40,85,95,93,98,90,93,21,90
old_noaid,39,58.15,60,50,72,70,89,77,88.5,55,38,80,60,50,85,90,70,93,83,30,46,84
old_noaid,40,59.32,60,70,80,70,85,77,76,75,81,80,65,28,80,92,79,77,77,89,44.5,83
old_noaid,41,62.74,75,85,94,74,94,85,85,80,85,65,80,30,85,95,93,90,97,90,43,91
old_noaid,42,62.75,55,40,65,56,75,45,70,30,51,75,55,40,50,90,75,60,75,48,21,87
old_noaid,43,66,80,80,84,79,80,79,50,85,77,85,80,28,95,90,73,88,96,92,38,90
old_noaid,44,66.15,80,82,96,70,97,88,89,60,86,85,85,28,90,92,91,97,66,92,48,87
old_noaid,45,70.35,75,78,89,64,89,60,78,75,49,85,60,50,80,92,88,89,95,53,76,82
old_noaid,46,71.26,70,70,87,75,90,65,92,85,65,75,57,60,85,98,89,91.5,83,56,83,85
old_noaid,47,78.35,75,80,89,88,95,83,88,90,79,90,75,80,98,98,77,96.5,95,94,91,97
old_noaid,48,78.4,80,84,69,55,89,77,73,60,79,70,74,66,93,95,93,89,87,93,88,88
old_noaid,49,80.21,90,80,98,94,90,90,90,95,73,93,85,80,95,100,99,97,95,90,88,95
old_noaid,50,84,95,90,97,90,97,97,92,85,90,97,80,85,95,98,87,97,94,97,63,96
old_aid,1,0.25,0.6,0.6,0.6,0.7,0.6,0.3,0.3,0.6,0.1,0.6,0.1,0,0.6,0,0.8,0.6,0.6,0.7,0.6,0.6
old_aid,2,2.5,5,2,0.7,5,1,0.9,0.9,1,3,1,1,0.6,0.6,2,0.8,0.6,3,2,0.8,0.6
old_aid,3,7.24,7,5,5,8,5,5,2,2,6,4,10,7,6,10,5,2,8,4,8,9
old_aid,4,7.31,10,2,4,6,2,2.5,2,1,8,5,5,3,3,10,3,4,2,5,1,7
old_aid,5,9.07,18,6,14,10,7,8,5,4,4,6,5,4,7,15,9,3,18,6.8,2,23
old_aid,6,11.6,7,5,6,10,5,10,5,3,2,13,5,5,5,40,5,2,10,9,3,65
old_aid,7,12.46,20,10,18,12.5,12,15,5.5,5,9,16,6,9,7,20,15,7,24,15,6,39
old_aid,8,13.1,20,15,30,22,10,30,8,6,12,10,15,7,7,20,17,7,18,20,3,21
old_aid,9,14.61,20,7,2,12,8,25,6,4,7,8,5,3,3,10,5,5,10,8,4,6
old_aid,10,16.06,15,6,9,11.5,8,19,10,10,11,9,9,10,4,10,10,4,12,6.8,9,15
old_aid,11,16.7,18,7,7,20,9,7.9,15,5,7,35,10,5,5,10,7.3,9,10,13,6,7.5
old_aid,12,19.5,40,6,23,22,14,17,10,30,7,25,12,10,15,30,19,16,19,20,13,15
old_aid,13,20.75,45,10,35,18.5,20,20,11,10,15,15,19,12,16,35,18,21,24,17,12,29
old_aid,14,23.56,25,19,10,9,10,8,7,3,10,10,13,3,7,14,9,7,18,7,5,8
old_aid,15,23.77,25,15,20,19,20,18,8,7,33,28,12,17,18,25,17,7,20,22,16,37
old_aid,16,24.45,42,17,30,18,13,37,14,10,26,17,10,17,18,20,16,15,18,22,10,35
old_aid,17,25.78,30,19,53,33,38,39,8,9,28,25,25,15,18,50,36,20,55,28,13,44
old_aid,18,26.03,25,17,6.8,15,9,18,19,10,18,20,15,10,18,25,7.5,18,18,15,8,9
old_aid,19,26.42,20,15,20,18,16,7.8,12,15,7,15,25,8,18,10,17,15,20,22,11,22
old_aid,20,28.89,25,18,22,24,15,27,15,9,19,20,10,15,10,30,30,15,25,19,18,37
old_aid,21,31.21,35,20,33,39,36,40,24,15,30,30,30,25,15,40,40,33,44,36,22,57
old_aid,22,33.05,50,19,23,37,18,40,16,23,31,20,20,25,18,40,20,19,24,35,16,22
old_aid,23,34.63,60,10,42,29.5,25,38,19,18,29,38,25,20,20,60,43,19,45,36,23,39
old_aid,24,36.15,42,20,38,25,25,38,10,10,32,25,10,20,18,60,25,30,22,22,14,40
old_aid,25,36.74,50,27,49,40,40,45,20,40,43,45,33,20,40,70,45,30,77,39,27,59
old_aid,26,38,60,20,65,36.5,40,42,23,35,28,30,15,16,42,60,30,30,42,19,31,41
old_aid,27,38.07,30,22,40,44,43,43,18,23,19,45,20,22,35,65,37,18,57,39,26,45
old_aid,28,40,42,21,43,28,20,40,19.5,16,21,19,20,28,18,60,35,23,45,39,17,32
old_aid,29,40.34,40,30,47,30,45,43,27,20,43,43,20,23,35,55,46,29.5,24,39.9,28,67
old_aid,30,44.01,60,30,46,35.5,35,38,21,20,48,35,20,25,20,75,40,42,43,31,24,45
old_aid,31,45.42,50,20,37,23,40,30,20,45,25,35,20,42,20,55,19,20,42,19,12,37
old_aid,32,45.47,50,20,43,35,40,37,33,30,42,50,40,48,35,70,33,40,30,40,16,57
old_aid,33,49.23,50,40,75,40,35,47,21,23,19,25,30,40,40,70,25,42,20,40,29,65
old_aid,34,52.48,70,66,56,49.5,46,41,21,20,42,33,40,40,42,70,40,44,47,43,41,49
old_aid,35,53.08,42,40,35,41,35,45,23,15,63,20,30,45,20,70,42,18,42,33,45,45
old_aid,36,54.7,55,48,59,40,38,40,19,20,30,45,50,45,42,70,30,42,52,28,21,47
old_aid,37,54.82,65,43,40,40,38,40,40,35,43,70,50,55,42,75,40,42,42,43,17,70
old_aid,38,55.54,75,42,68,56,45,54,40,70,48,43,40,40,40,78,55,61,78,42,43,70
old_aid,39,58.15,60,46,43,39.5,25,44,35,50,45,40,45,60,42,70,45,51,76,40,21,55
old_aid,40,59.32,78,35,57,38,60,43,37,40,40,70,35,45,78.5,25,45,65,76,43,48,78
old_aid,41,62.74,78,38,45,45,70,42,57,45,42,60,40,55,45,78,43,78,55,43,49,75
old_aid,42,62.75,78,38,69,57,55,56,35,40,76,43,40,32,42,78.5,47,55,78,46,51,78
old_aid,43,66,65,54,85,52,43,51,27,45,20,55,60,35,38,78,40,42,60,40,38,65
old_aid,44,66.15,78,40,48,50,68,78.5,70,40,45,70,75,50,78.5,78,70,80,76,47,26,67
old_aid,45,70.35,60,55,68,52,43,60,47,45,75,50,50,55,42,75,68,78.5,75,48,72,75
old_aid,46,71.26,78,52,68,52,75,70,60,70,48,48,65,52,60,78,65,77,58,69,77,87
old_aid,47,78.35,70,57,77,68,65,60,55,55,43,60,72,78,70,78,60,61,62,71,78,82
old_aid,48,78.4,70,54,78.5,48,75,60,45,55,78,75,55,77,75,78.5,45,78.5,73,77,74,78
old_aid,49,80.21,78.5,65,78.5,75.5,75,76,77,78.5,48,73,75,78,78,78,60,78.5,78,64,78,78
old_aid,50,84,78.5,70,78.5,78.5,78,78,72,75,78.5,75,78,72,78,78,73,78.5,75,68,62,78
new_noaid,1,0.25,0.1,1,0.8,0.1,0.6,1,1,1,0,0.1,0.3,0.1,0.2,0.2,1,2,0.2,0.3,1,0.3
new_noaid,2,2.5,5,5,5,1,8,10,9,9,5,0.4,7,0.3,3,2,5,8,4,5,6,5
new_noaid,3,7.24,6,7,10,4,15,10,22,19,10,2,3,10,6,6,10,19,5,5,15,3
new_noaid,4,7.31,3,16,2,1,4,17,12,2,2,3,0.5,0.7,3,5,5,3,2,10,7,10
new_noaid,5,9.07,19,23,14,10,19,20,27,25,25,10,5,2,12,14,18,15,40,4,12,5
new_noaid,6,11.6,10,10,13,6,9,15,16,15,10,4,3,4.5,8,7,15,25,37,15,13,5
new_noaid,7,12.46,18,21,18,15,9,15,30,30,30,5,8,3,20,15,17,32,18,5,18,9
new_noaid,8,13.1,20,18,16,10,16,25,20,21,20,9,10,5,23,23,27,15,38,2,17,5
new_noaid,9,14.61,13,29,19,8,8,20,23,20,30,5,7,5,6,26,13,21,0.8,5,19,5
new_noaid,10,16.06,26,19,12,6,21,36,26,24,30,10,14,4,17,24,21,18,32,8,20,10
new_noaid,11,16.7,7,28,22,4,10,30,15,23,10,15,4,5,40,23,25,26,21,3,7,15
new_noaid,12,19.5,16,23,28,9,33,25,32,32,40,5,10,15,15,12,23,33,28,16,16,40
new_noaid,13,20.75,30,15,19,10,17,28,40,20,28,14,10,3,31,20,22,30,13,13,28,10
new_noaid,14,23.56,19,28,13,5,24,10,25,10,25,13,9,2,17,20,14,16,11,14,27,10
new_noaid,15,23.77,20,29,22,15,14,20,25,48,40,25,9,8,13,30,45,55,8,11,20,20
new_noaid,16,24.45,26,25,17,11,18,30,21,32,30,17,13,2,18,18,21,35,29,7,20,15
new_noaid,17,25.78,40,32,29,15,11,15,40,28,50,40,8,37,15,65,50,73,10,10,32,30
new_noaid,18,26.03,30,35,27,17,23,35,36,35,30,20,7,6,30,35,11,23,19,10,38,20
new_noaid,19,26.42,24,20,17,12,30,23,36,37,30,16,15,5,17,19,19,42,40,14,18,15
new_noaid,20,28.89,48,37,35,20,19,25,40,45,50,50,20,15,30,40,63,42,37,12,33,15
new_noaid,21,31.21,48,32,37,20,26,45,47,42,60,37,20,27,41,35,46,62,46,15,25,20
new_noaid,22,33.05,49,19,32,20,20,27,45,28,30,11,12,7,45,38,30,42,19,18,43,20
new_noaid,23,34.63,53,39,54,40,25,46,60,25,50,21,30,7,70,45,66,50,17,21,76,30
new_noaid,24,36.15,30,57,46,50,13,70,30,50,40,60,20,18,20,22,85,89,71,25,85,60
new_noaid,25,36.74,57,38,44,52,41,50,71,38,70,30,14,23,58,53,50,53,51,20,62,20
new_noaid,26,38,49,40,30,31,28,50,65,45,50,45,19,93,49,42,33,60,50,21,53,60
new_noaid,27,38.07,60,58,40,30,48,50,65,30,60,15,25,20,80,60,72,84,26,28,67,60
new_noaid,28,40,47,71,77,49,39,50,57,43,70,25,33,18,47,39,52,30,27,23,28,70
new_noaid,29,40.34,20,53,52,40,15,60,35,60,60,50,53,43,25,50,80,91,50,26,75,60
new_noaid,30,44.01,49,54,78,61,67,65,58,50,60,25,34,34,49,64,69,67,24,25,78,20
new_noaid,31,45.42,50,35,39,32,49,20,37,60,60,20,20,33,39,32,39,30,25,19,63,20
new_noaid,32,45.47,84,41,65,60,48,55,55,40,70,25,40,35,79,70,56,57,31,29,69,30
new_noaid,33,49.23,70,45,71,50,21,30,55,55,75,35,13,17,60,80,72,69,15,27,79,30
new_noaid,34,52.48,67,46,62,28,61,50,64,48,70,25,49,23,55,53,57,62,30,28,43,25
new_noaid,35,53.08,50,38,44,43,53,45,67,60,60,29,35,17,43,45,72,42,44,20,37,25
new_noaid,36,54.7,52,49,69,44,59,60,53,48,80,50,60,21,52,55,60,63,17,30,67,15
new_noaid,37,54.82,45,74,61,30,48,55,60,78,90,70,31,31,30,55,82,82,41,30,66,40
new_noaid,38,55.54,85,67,85,40,80,85,70,75,90,80,80,70,85,87,94,83,79,48,98,80
new_noaid,39,58.15,79,75,87,61,84,80,63,55,75,66,75,61,73,70,65,82,33,24,93,50
new_noaid,40,59.32,62,71,60,71,75,80,62,68,80,75,35,41,69,68,78,75,67,33,78,75
new_noaid,41,62.74,96,87,92,85,90,90,78,90,95,81,90,53,83,83,91,88,94,39,85,75
new_noaid,42,62.75,55,51,77,65,58,55,56,78,90,45,45,45,57,51,77,70,53,31,67,45
new_noaid,43,66,89,81,82,66,58,88,80,80,75,74,50,39,70,79,84,80,36,35,89,80
new_noaid,44,66.15,95,78,89,72,85,85,73,72,95,85,92,63,89,70,90,85,62,38,93,80
new_noaid,45,70.35,89,70,89,77,87,75,82,82,95,79,88,25,87,68,76,80,25,29,78,55
new_noaid,46,71.26,85,82,86,68,82,85,83,75,95,89,80,66,83,84,87,80,44,27,84,60
new_noaid,47,78.35,95,83,86,64,52,65,85,90,90,85,60,37,90,67,95,85,84,44,97,70
new_noaid,48,78.4,85,70,92,95,89,80,79,70,97,60,66,68,89,62,83,68,90,38,87,70
new_noaid,49,80.21,90,91,85,90,89,90,85,90,93,85,70,90,90,95,98,90,89,45,97,84
new_noaid,50,84,98,88,91,95,93,90,87,88,98,90,96,96,95,86,89,90,52,47,96,90
new_aid,1,0.25,0.1,0.2,0.5,0.2,0.2,0.4,0.4,0.3,0.2,0.1,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.5,0.2
new_aid,2,2.5,1,4.4,3,2,2,4.5,8,4,5,0.3,1,0.7,1,3,2,4,2,3,4,1
new_aid,3,7.24,3,9,5,4,6,10,11,6,10,6,5,6,6,8,5,6,9,5,8,5
new_aid,4,7.31,9,10,12,4,7,8,4,12,8,6,2,2,9,5,6,5,12,5,7,5
new_aid,5,9.07,9,10,12,10,15,11,17,8,10,10,9,9,10,15,10,10,12,10,8,15
new_aid,6,11.6,15,12,12,10,12,12,13,15,15,7,8,10,13,12,8,15,7,15,10,10
new_aid,7,12.46,12,10,19,20,10,14,15,15,15,16,9,20,11,17,15,23,12,18,18,15
new_aid,8,13.1,15,15,13,18,20,13,18,18,15,17,9,7,15,24,21,26,9,20,15,25
new_aid,9,14.61,13,13,18,12,18,13,13,17,10,14,14,14,13,12,11,17,14,14,10,15
new_aid,10,16.06,8,15,13,11,18,19,9,20,15,20,17,12,12,15,18,15,11,15,12,13
new_aid,11,16.7,15,18,15,15,12,17,13,23,10,15,7,17,11,13,13,20,18,10,15,15
new_aid,12,19.5,14,20,18,20,18,20,18,25,20,21,15,29,17,23,23,36,14,24,20,10
new_aid,13,20.75,30,26,30,15,27,20,30,23,20,22,17,24,25,26,25,15,26,20,25,30
new_aid,14,23.56,20,28,29,20,24,28,19,26,25,16,9,28,24,26,26,17,27,29,15,15
new_aid,15,23.77,25,25,24,27,29,23,24,22,20,27,15,39,33,20,24,27,39,29,20,25
new_aid,16,24.45,19,25,26,20,21,30,22,24,25,29,16,26,20,30,21,25,28,30,23,30
new_aid,17,25.78,32,28,30,32,24,33,30,25,30,22,29,29,26,38,40,38,48,30,27,30
new_aid,18,26.03,25,29,26,30,23,35,32,25,20,24,15,34,29,29,18,29,20,27,13,25
new_aid,19,26.42,25,25,29,25,25,25,25,25,25,17,19,20,26,30,20,35,32,22,25,15
new_aid,20,28.89,28,34,34,30,32,30,28,25,35,24,25,43,28,31,36,48,21,37,27,30
new_aid,21,31.21,45,31,34,40,43,32,29,40,35,30,22,43,35,46,30,25,20,45,28,35
new_aid,22,33.05,35,37,33,30,38,32,30,38,30,27,30,38,37,31,25,30,21,35,23,25
new_aid,23,34.63,38,36,40,35,37,30,37,40,40,33,31,37,42,35,39,45,37,34,30,30
new_aid,24,36.15,30,32,37,37,36,42,31,30,30,38,37,42,38,30,42,48,28,39,38,45
new_aid,25,36.74,45,42,31,42,31,42,41,38,50,42,30,41,47,45,37,60,37,36,37,30
new_aid,26,38,38,39,42,35,37,31,37,40,40,43,35,42,38,43,34,42,27,52,40,40
new_aid,27,38.07,45,48,46,41,36,40,46,39,35,42,38,45,46,45,38,50,35,32,32,45
new_aid,28,40,40,40,40,40,40,40,40,40,40,35,39,28,40,40,40,45,42,47,33,40
new_aid,29,40.34,50,40,37,41,50,38,38,40,35,57,35,43,31,40,43,53,37,57,43,45
new_aid,30,44.01,38,40,48,45,44,50,47,40,35,50,42,43,45,50,54,45,46,53,40,40
new_aid,31,45.42,40,46,47,45,42,45,42,45,45,41,40,55,44,46,40,49,56,52,30,45
new_aid,32,45.47,40,50,42,50,45,45,40,40,45,48,42,48,33,43,49,35,45,40,50,50
new_aid,33,49.23,45,49,49,45,30,47,42,42,45,41,33,35,45,45,42,45,32,46,39,45
new_aid,34,52.48,54,48,58,49,55,50,47,45,55,45,54,43,48,48,53,50,58,55,43,35
new_aid,35,53.08,50,43,55,49,50,50,48,45,48,54,35,35,52,50,48,57,51,38,40,70
new_aid,36,54.7,55,50,44,50,60,55,43,55,55,45,57,54,53,55,53,53,54,56,48,55
new_aid,37,54.82,55,58,50,48,52,50,52,45,65,50,48,45,51,50,60,62,58,50,66,60
new_aid,38,55.54,66,58,65,60,65,60,53,56,60,61,59,75,66,65,59,75,76,69,63,60
new_aid,39,58.15,60,69,64,60,63,67,56,57,50,53,60,50,46,65,58,73,72,74,48,70
new_aid,40,59.32,68,66,52,50,62,62,60,66,50,57,43,63,73,57,60,65,56,68,65,70
new_aid,41,62.74,75,62,72,62,68,67,78,63,70,65,60,79,66,70,61,73,62,75,47,70
new_aid,42,62.75,57,58,72,65,65,63,69,65,65,62,70,59,63,54,65,60,58,64,55,64
new_aid,43,66,67,56,68,50,69,56,62,55,60,56,59,53,75,51,65,62,73,50,45,70
new_aid,44,66.15,55,65,72,65,65,68,76,68,65,61,76,67,79,63,71,65,74,73,68,75
new_aid,45,70.35,66,80,72,66,66,65,65,65,65,65,64,67,75,69,70,75,59,80,57,60
new_aid,46,71.26,70,72,67,69,74,70,72,70,70,71,70,69,84,64,75,70,77,70,70,70
new_aid,47,78.35,80,78,70,70,78,67,75,70,70,74,68,57,72,81,65,72,81,84,63,75
new_aid,48,78.4,63,67,84,75,75,79,78,73,80,75,67,83,78,66,72,75,84,84,84,75
new_aid,49,80.21,83,74,84,84,72,84,74,82,80,79,80,79,84,80,83,84,70,84,80,80
new_aid,50,84,78,84,84,83,81,84,84,84,83,75,82,84,84,83,84,84,84,76,74,84
